Tanggal,Harga_Beras,Inflasi,Prediksi
15/08/2022,11350,0.0469,
16/08/2022,11350,0.0469,
17/08/2022,11350,0.0469,
18/08/2022,11350,0.0469,
19/08/2022,11350,0.0469,
20/08/2022,11350,0.0469,
21/08/2022,11350,0.0469,
22/08/2022,11350,0.0469,
23/08/2022,11350,0.0469,
24/08/2022,11400,0.0469,
25/08/2022,11400,0.0469,
26/08/2022,11400,0.0469,
27/08/2022,11400,0.0469,
28/08/2022,11400,0.0469,
29/08/2022,11400,0.0469,
30/08/2022,11400,0.0469,
31/08/2022,11400,0.0469,
01/09/2022,11400,0.0595,
02/09/2022,11400,0.0595,
03/09/2022,11400,0.0595,
04/09/2022,11400,0.0595,
05/09/2022,11400,0.0595,
06/09/2022,11400,0.0595,
07/09/2022,11400,0.0595,
08/09/2022,11400,0.0595,
09/09/2022,11400,0.0595,
10/09/2022,11400,0.0595,
11/09/2022,11400,0.0595,
12/09/2022,11450,0.0595,
13/09/2022,11450,0.0595,
14/09/2022,11450,0.0595,
15/09/2022,11500,0.0595,
16/09/2022,11500,0.0595,
17/09/2022,11500,0.0595,
18/09/2022,11500,0.0595,
19/09/2022,11500,0.0595,
20/09/2022,11500,0.0595,
21/09/2022,11500,0.0595,
22/09/2022,11500,0.0595,
23/09/2022,11500,0.0595,
24/09/2022,11500,0.0595,
25/09/2022,11500,0.0595,
26/09/2022,11500,0.0595,
27/09/2022,11500,0.0595,
28/09/2022,11500,0.0595,
29/09/2022,11500,0.0595,
30/09/2022,11500,0.0595,
01/10/2022,11500,0.0571,
02/10/2022,11500,0.0571,
03/10/2022,11500,0.0571,
04/10/2022,11500,0.0571,
05/10/2022,11500,0.0571,
06/10/2022,11500,0.0571,
07/10/2022,11500,0.0571,
08/10/2022,11500,0.0571,
09/10/2022,11500,0.0571,
10/10/2022,11500,0.0571,
11/10/2022,11500,0.0571,
12/10/2022,11500,0.0571,
13/10/2022,11500,0.0571,
14/10/2022,11500,0.0571,
15/10/2022,11500,0.0571,
16/10/2022,11500,0.0571,
17/10/2022,11500,0.0571,
18/10/2022,11500,0.0571,
19/10/2022,11500,0.0571,
20/10/2022,11500,0.0571,
21/10/2022,11500,0.0571,
22/10/2022,11500,0.0571,
23/10/2022,11500,0.0571,
24/10/2022,11500,0.0571,
25/10/2022,11500,0.0571,
26/10/2022,11500,0.0571,
27/10/2022,11500,0.0571,
28/10/2022,11500,0.0571,
29/10/2022,11500,0.0571,
30/10/2022,11500,0.0571,
31/10/2022,11500,0.0571,
01/11/2022,11500,0.0542,
02/11/2022,11500,0.0542,
03/11/2022,11500,0.0542,
04/11/2022,11500,0.0542,
05/11/2022,11500,0.0542,
06/11/2022,11550,0.0542,
07/11/2022,11550,0.0542,
08/11/2022,11550,0.0542,
09/11/2022,11550,0.0542,
10/11/2022,11550,0.0542,
11/11/2022,11550,0.0542,
12/11/2022,11550,0.0542,
13/11/2022,11550,0.0542,
14/11/2022,11550,0.0542,
15/11/2022,11550,0.0542,
16/11/2022,11550,0.0542,
17/11/2022,11550,0.0542,
18/11/2022,11550,0.0542,
19/11/2022,11550,0.0542,
20/11/2022,11550,0.0542,
21/11/2022,11600,0.0542,
22/11/2022,11600,0.0542,
23/11/2022,11600,0.0542,
24/11/2022,11600,0.0542,
25/11/2022,11600,0.0542,
26/11/2022,11600,0.0542,
